MATERIAL	DESCRIÇÃO DO MATERIAL	Tipo de Material
3921	ABRAÇADEIRA NYLON 200X4,8MM BRANCA	OUTROS
3922	ARAME GALVANIZADO 16 01KG - RL	OUTROS
3923	BASE COMPLETA C/FUSÍVEL RETARDADO PORCELANA	OUTROS
3924	BOX TIPO RETO DE 1"	OUTROS
3925	BROCA AÇO RAPIDO 3/32"	OUTROS
3926	BROCA DE AÇO RAPIDO 10,0MM	OUTROS
3927	BROCA DE AÇO RAPIDO 16MM	OUTROS
3928	BROCA DE AÇO RAPIDO 3 MM	OUTROS
3929	BROCA DE AÇO RAPIDO 5 MM	OUTROS
3930	BROCA DE AÇO RAPIDO 7 MM	OUTROS
3931	BROCA DE VIDEA 10MM	OUTROS
3932	BROCA DE VIDIA P/ CONCRETO 1/2"(12MM)	OUTROS
3933	CABINHO FLEXIVEL 750V 0,5MM² COR PRETA	OUTROS
3934	CABINHO FLEXIVEL 750V-0,5MM²  COR VERMELHA c/ 100mts	OUTROS
3935	CABINHO FLEXIVEL 750V 1,5MM² COR PRETA	OUTROS
3936	CABINHO FLEXIVEL 750V-1,5MM²  COR VERMELHA	OUTROS
3937	CHAVE ALLEN DE 10MM	FERRAMENTAL
3938	CHAVE ALLEN DE 5 MM	FERRAMENTAL
3939	CHAVE ALLEN DE 6 MM	FERRAMENTAL
3940	CHAVE ALLEN DE 7MM	FERRAMENTAL
3941	CHAVE ALLEN DE 8MM	FERRAMENTAL
3942	CHAVE ALLEN DE 9MM	FERRAMENTAL
3943	CHAVE COMBINADA 6 A 22MM GEDORE	FERRAMENTAL
3944	CHAVE COMBINADA DE BOCA E ESTRIA 11MM	FERRAMENTAL
3945	CHAVE COMBINADA S/ISOL 9MM BOCA ESTRIA	FERRAMENTAL
3946	CHAVE COMBINADA, DE 11/16MM (18 MM)	FERRAMENTAL
3947	CHAVE COMBINADA, DE 9/16MM (13 MM)	FERRAMENTAL
3948	CHAVE CONTACTADORA, BIP, DE 15 A X 220 V	FERRAMENTAL
3949	JOGO DE CHAVES DE BOCA, DE 1/4" A 1.5/8" - COM 11 PEÇAS	FERRAMENTAL
3950	CHAVE DE BOCA, DE 6 A 32MM-JG C/ 12 PÇ	FERRAMENTAL
3951	CHAVE DE BOCA, DE 8 A 19MM	FERRAMENTAL
3952	CHAVE DE ESTRIA, DE 1/4" A 1.5/8"-JG12PÇ	FERRAMENTAL
3953	CHAVE DE ESTRIA, DE 6 A 32MM-JG 12 PÇ	FERRAMENTAL
3954	CHAVE GRIFO TAM.12"	FERRAMENTAL
3955	CHUMBADOR CBA  C/ PARAF. 1/4X2"	OUTROS
3956	CHUMBADOR CBA  C/ PARAF. 5/16X2.1/4"	OUTROS
3957	CONECTOR RJ 45	OUTROS
3958	ETIQUETA ADESIVA 50X25MM 2C BOPP BRANCO	OUTROS
3959	KIT P/ FROTA C/ LOGO ENEL E 04 ADESIVOS	OUTROS
3960	LAMPADA FLUORESCENTE 32W	OUTROS
3961	LAMPADA FLUORESCENTE 40W	OUTROS
3962	LAMPADA INCANDESCENTE 100WX127V-E-27	OUTROS
3963	LÂMPADA INCANDESCENTE, 60WX127V-E-27	OUTROS
3964	PASTA P/ SOLDA TUBO 110G.	OUTROS
3965	PREGO C/ CABEÇA 16 X 24	OUTROS
3966	PREGO C/ CABEÇA 18 X 30	OUTROS
3967	REATOR PARTIDA RAPIDA 2 X 32W BIVOLT	OUTROS
3968	REATOR PARTIDA RÁPIDA 2 X 40W BIVOLT	OUTROS
3969	SERRA TIPO COPO DE 48MM	FERRAMENTAL
3970	TELEFONE GIGASET DA 100 SIEMENS	OUTROS
3971	VEDA JUNTA 120G	OUTROS
3972	FITA PET P/EMBALAGEM 19MM X 1.10MM X 910M VIRGEM	OUTROS
3973	FILME PARA EMBALAGEM, STRECH, BOBINA DE 500 MM	OUTROS
3974	SACO DE PLÁSTICO BOLHA REF.45 X 34CM	OUTROS
3984	APAGADOR ANATÔMICO P/ QUADRO BRANCO	ESCRITÓRIO
3985	BLOCO DE RECADO AUTO ADESIVO 38MMX51MM C/4 UNIDADES	ESCRITÓRIO
3986	EXTRATOR DE GRAMPO MOD.ESPATULA	ESCRITÓRIO
3987	TINTA PARA CARIMBO PRETA - 40ML	ESCRITÓRIO
3988	CLIPS Nº 8/0 EMBALAGEM C/ 20 UNIDADES	ESCRITÓRIO
3989	PASTA PLÁSTICA TRANSPARENTE C/ ELÁSTICO 4CM	ESCRITÓRIO
3990	TESOURA CABO PLÁSTICO 21CM	ESCRITÓRIO
3991	PILHA ALCALINA RECARREGÁVEL AAA2 1.2V	ESCRITÓRIO
3992	PILHA ALCALINA AAA 1.5V	ESCRITÓRIO
3993	PASTA PLÁSTICA TRANSPARENTE MODELO L A4 FINA (Tipo envelope)	ESCRITÓRIO
3994	SUPORTE PARA NOTEBOOK	ESCRITÓRIO
3995	COLA BRANCA PLÁSTICA - 1 LITRO	ESCRITÓRIO
3996	BLOCO FLIPP SHART 65X95CM COM 50 FOLHAS	ESCRITÓRIO
3997	PASTA SUSPENSA MARMORIZADA CASTANHA	ESCRITÓRIO
3998	ELÁSTICO AM. C/25 GRAMAS	ESCRITÓRIO
3999	ELÁSTICO AM. SACO C/1KG	ESCRITÓRIO
4000	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 8	EPI
4001	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 9	EPI
4002	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 10	EPI
4003	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 46-EPI	EPI
4004	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM XG	OUTROS
4005	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM GG	OUTROS
4006	GRAMPO PLÁSTICO PARA PASTA SUSPENSA	ESCRITÓRIO
4007	GRAMPEADOR METAL PARA FOLHAS 28/6	ESCRITÓRIO
4008	SACO PLÁSTICO OF. 04 FUROS 0,12 MM GR  C/ 50 UNIDADES	ESCRITÓRIO
4009	PORTA CARTÕES COURVIN P/ 80 UNIDADES	ESCRITÓRIO
4010	APOIO PARA TECLADO ERGONÔMICO PRETO	ESCRITÓRIO
4012	CADERNO ESPIRAL C/FLEX  1/4 98FL (Pequeno)	ESCRITÓRIO
4013	CADERNO ESPIRAL C/FLEX  200 FL (GRANDE)	ESCRITÓRIO
4014	FITA ADESIVA TRANSPARENTE 12X30MM	ESCRITÓRIO
4015	PEN DRIVE 16 GB	OUTROS
4016	ALCOOL 70% 1 LITRO	ESCRITÓRIO
4017	ENVELOPE K NATURAL 26X36 80G	ESCRITÓRIO
4018	CAIXA ARQUIVO PAPELÃO OF A25/L14/C36CM	ESCRITÓRIO
4019	PASTA REGISTRO OF LARGA ECONOMICA	ESCRITÓRIO
4020	FITA ADESIVA TRANSPARENTE PARA EMBALAGEM 45MMX45M	ESCRITÓRIO
4021	GRAFITE 0.7MM 2B	ESCRITÓRIO
4022	PAPEL BRANCO A4-75G/M² -210X297MM C/500 FOLHAS	ESCRITÓRIO
4023	PAPEL BRANCO A3-75G/M² - 297X420MM	ESCRITÓRIO
4026	FITA ADESIVA TRANSPARENTE C/LOGO CAM 48x50	OUTROS
4027	ALICATE AMPERIMETRO DIGITAL MINIPA  ET3388	FERRAMENTAL
4031	ALICATE AMPERIMETRO DIGITAL MINIPA  ET4050	FERRAMENTAL
4110	FONTE DE ALIMENTAÇÃO CHAVEADA 24V/2,5A 60W	OUTROS
4130	GRAMPEADOR 23/13  (GRANDE)	ESCRITÓRIO
4131	BATERIA 9V	OUTROS
4134	BOLSA LONA P/FERRAMENTAS E/OU EPI IMPER Nº 10 VERDE 450x400MM	OUTROS
4136	PORTA FUSÍVEL DH-1510016-F C/PROLONGADOR 16KA	OUTROS
4139	FIO FLEXÍVEL AUTO 2,5MM PRETO 750V	OUTROS
4153	BARRAMENTO DE TERRA/NEUTRO BRG N/T7 C/SUPORTE TB	OUTROS
4169	LAMINA DE SERRA MANUAL 12'' 24 DENTES	FERRAMENTAL
4174	CABO FLEXÍVEL AUTO 2,5MM AZUL 750V	OUTROS
4175	CALÇA PADRAO ENEL FAIXA REFLETIVA P	EPI
4176	CALÇA PADRAO ENEL FAIXA REFLETIVA M	EPI
4177	CALÇA PADRAO ENEL FAIXA REFLETIVA GG	EPI
4178	CALÇA PADRAO ENEL FAIXA REFLETIVA XG	EPI
4179	CAMISA PADRAO ENEL  FAIXA REFLETIVA P	EPI
4180	CAMISA PADRAO ENEL  FAIXA REFLETIVA M	EPI
4181	CAMISA PADRAO ENEL  FAIXA REFLETIVA GG	EPI
4182	CAMISA PADRAO ENEL  FAIXA REFLETIVA XG	EPI
4193	ACOPLAMENTO INDUTIVO TRIFÁSICO 127V P/COMUNICAÇÃO PLC	OUTROS
4195	CONCENTRADOR PRIMÁRIO CAM	OUTROS
4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	OUTROS
4203	PARAFUSADEIRA BATERIAL 7,2V 20NW REF.TD020	OUTROS
4206	TRENA EM FIBRA DE VIDRO 50 MTS	OUTROS
4216	PARAFUSO FENDA M3 X 15MM	OUTROS
4217	PARAFUSO FENDA 1/4' X 3/4'	OUTROS
4218	PARAFUSO CABEÇA SEXTAVADA 3/8X2 PO AR L.S PR	OUTROS
4220	TUBO DE PVC 1" (SEAL TUBO) PRETO	OUTROS
4221	MEDIDOR ION 8600C 2MB 5A AUX-65-120VAC  FUNÇÃO: P8600C0C0H6E1A0B	OUTROS
4229	TERMINAL AGULHA 1.5-2.5MM² (AZUL)	OUTROS
4230	PLACA DO MÓDULO RF MODELO RC915-P 127V	OUTROS
4231	PARAFUSO RM CABEÇA REDONDA 3/16 X 1/2 C/ PORCA	OUTROS
4233	ARRUELA DE PRESSÃO 1/4"	OUTROS
4236	SELO DE ALTA SEGURANÇA PERSONALIZADO INMETRO	OUTROS
4241	ABRAÇADEIRA NYLON 39X4,7MM	OUTROS
4242	CAIXA MEDIDOR POLIFASICO 407X273mm "LOGO ENEL"	OUTROS
4251	MANGA DE RASPA PARA SOLDADOR - EPI	EPC
4253	BANDEIROLA DE PANO VERMELHO C/ CORDÃO 40CM X 40CM	EPC
4255	BANDEIROLA PLASTICA VERMELHA C/ ILHOES 40CM X 40CM	EPC
4256	ÓCULOS DE SEGURANÇA EM PVC C/ VENTILAÇÃO ENEL VISÃO	EPI
4257	CAPACETE DE SEGURANÇA C/ ABA TOTAL CLB VERDE	EPI
4258	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 44-EPI	EPI
4259	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 43-EPI	EPI
4260	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 42-EPI	EPI
4261	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 41-EPI	EPI
4262	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 40-EPI	EPI
4263	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 39-EPI	EPI
4264	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 38-EPI	EPI
4265	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 37-EPI	EPI
4266	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 36-EPI	EPI
4270	CHAVE PHILLIPS C/HASTE ISOLADA 1KV 5/16"X10"	FERRAMENTAL
4271	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8"X6"	FERRAMENTAL
4273	CHAVE FENDA S/ISOLAMENTO 1kV DE 3/16"X6"	FERRAMENTAL
4274	ALICATE AMPERIMETRO DIGITAL VA750 INSTRUTHERM	FERRAMENTAL
4277	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO M 42-44 UNIF	OUTROS
4288	GRAMPO P/GRAMPEADOR 26/06 CX C/5000 UNIDADES	ESCRITÓRIO
4291	REATOR ELET. HO DUPLO ALTO FATOR 2X 110W 220V	OUTROS
4304	LACRE -TRANK 4 S/RABICHO C/ARAME INCOLOR C/ACREDITAÇÃO CAM ARJ017	OUTROS
4309	LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 0 1kV TAM.10	EPI
4311	ESCADA EXTENSÍVEL PERFIL U COMP.7,87 DEGRAU ISOLADO	OUTROS
4316	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM M	OUTROS
4317	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.XG UNIF	OUTROS
4320	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.P UNIF	OUTROS
4321	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.M UNIF	OUTROS
4322	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.GG UNIF	OUTROS
4331	PRENSA-CABO ROSQUEADO DE 1.1/4" LP+P3X10-UV-LT-PA-40dan	OUTROS
4333	PRENSA-CABO 1 1/2"	OUTROS
4358	LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 4 1kV TAM.10 REF.P-EMS24	EPI
4359	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8"X5"	FERRAMENTAL
4360	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM38	OUTROS
4361	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM40	OUTROS
4362	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM42	OUTROS
4363	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM44	OUTROS
4364	JALECO CONFECCIONADO EM TECIDO CINZA TAM.XG	OUTROS
4366	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM.G	OUTROS
4367	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM.P	OUTROS
4368	CADEADO DE LATÃO TIPO E-50 - PAPAIZ	OUTROS
4369	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 10MM	FERRAMENTAL
4370	SERRA COPO 25MM H0100 1"	FERRAMENTAL
4371	CABO FLEXIVEL PP 3 VIAS 2,50MM PRETO 750V	OUTROS
4372	ETIQUETA ADESIVA LOGO COELCE TAM.	OUTROS
4376	PARAFUSO FENDA 1/4"X20 X1.1/4"	OUTROS
4377	CABO FLEXÍVEL ANTICHAMA BWF 2,5MM² 450/750V PRETO (100 METROS)	OUTROS
4380	MEDIDOR MONOFÁSICO PLC C/CORTE MEP01-PLC1, 110V.	OUTROS
4381	MEDIDOR MONOFÁSICO PLC C/CORTE MEP01-PLC2, 240V.	OUTROS
4382	MEDIDOR TRIFÁSICO PLC MTSE02 B1, 110V.	OUTROS
4390	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO P 38-40 UNIF	OUTROS
4391	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.40 - UNIF	OUTROS
4392	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO GG 50-52 UNIF	OUTROS
4393	CALÇA FUNCIONÁRIO BRIM BEGE TAM.GG 50-53 CAM UNIF	OUTROS
4394	CALÇA FUNCIONÁRIO BRIM BEGE TAM.M 42-45 CAM UNIF	OUTROS
4395	CALÇA FUNCIONÁRIO BRIM BEGE TAM.P 38-41 CAM UNIF	OUTROS
4396	CALÇA FUNCIONÁRIO BRIM BEGE TAM.PP 34-37 CAM UNIF	OUTROS
4397	CALÇA FUNCIONÁRIO BRIM BEGE TAM.XG 54-60 CAM UNIF	OUTROS
4398	CAMISA FUNCIONÁRIO BRIM BEGE TAM.P 44-46 UNIF	OUTROS
4399	CAMISA FUNCIONÁRIO BRIM BEGE TAM.PP 38-40 UNIF	OUTROS
4400	CAMISA FUNCIONÁRIO BRIM BEGE TAM.G 52-54 UNIF	OUTROS
4402	CAMISA FUNCIONÁRIO BRIM BEGE TAM.GG 56-58 UNIF	OUTROS
4403	CAMISA FUNCIONÁRIO BRIM BEGE TAM.XG 60-62 UNIF	OUTROS
4405	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 41-EPI	EPI
4406	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 38-EPI	EPI
4407	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 40-EPI	EPI
4408	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 43-EPI	EPI
4409	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 45-EPI	EPI
4410	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 42-EPI	EPI
4411	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 44-EPI	EPI
4413	ETIQUETA PIMACO REF.61082 33,9X101,6MM (FOLHA)	OUTROS
4414	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.48 - UNIF	OUTROS
4415	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.50 - UNIF	OUTROS
4416	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.58 - UNIF	OUTROS
4417	CAMISA AZUL P/SUPERVISOR TAM GG UNIF	OUTROS
4418	CAMISA AZUL P/SUPERVISOR TAM XG UNIF	OUTROS
4419	GUARDA PÓ EM BRIM LEVE BRANCA TAM.G UNIF	OUTROS
4420	GUARDA PÓ EM BRIM LEVE BRANCA TAM.GG UNIF	OUTROS
4421	GUARDA PÓ EM BRIM LEVE BRANCA TAM.M UNIF	OUTROS
4422	GUARDA PÓ EM BRIM LEVE BRANCA TAM.XG UNIF	OUTROS
4429	CALÇA EM BRIM AZUL ROYAL TAM.M UNIF	OUTROS
4430	CALÇA EM BRIM AZUL ROYAL TAM.P UNIF	OUTROS
4431	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.GG-UNIF	OUTROS
4432	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.M-UNIF	OUTROS
4433	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.P-UNIF	OUTROS
4434	JALECO CONFECCIONADO EM TECIDO CINZA TAM.G	OUTROS
4435	JALECO CONFECCIONADO EM TECIDO CINZA TAM.GG	OUTROS
4436	JALECO CONFECCIONADO EM TECIDO CINZA TAM.M	OUTROS
4445	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO M-EPI	EPI
4446	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO P-EPI	EPI
4447	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO G-EPI	EPI
4448	BROCA DE VÍDEA 8MM	OUTROS
4450	COLETE DE SINALIZAÇÃO TIPO X REFLETIVA FP	EPI
4451	MASCARA DE PROTEÇÃO P/POEIRA - EPI	EPI
4453	OCULOS SOBREPOR INCOLOR ET-30-EPI	EPI
4454	OCULOS SOBREPOR CINZA ET-30-EPI	EPI
4455	CARRETILHA P/IÇAR MATERIAL REF.SE232R	OUTROS
4456	CORTA GALHO TIPO PADRÃO MARCA BIEHL	OUTROS
4457	AVENTAL DE RASPA P/SOLDADOR-EPI	OUTROS
4459	PARAFUSO CABEÇA ABAULUADA 150X75X16MM	OUTROS
4464	ESCADA MADEIRA EXTENSÍVEL 6M / 10.80M	OUTROS
4465	ESCADA MADEIRA SINGELA 4.20M	OUTROS
4466	ESCADA EXTENSIVA FIBRA VIDRO 6280X10076 REF. EMS56	OUTROS
4471	FIXADOR P/FIOS E CABOS	OUTROS
4474	MOUSE OPTICO USB	ESCRITÓRIO
4477	ETIQUETA ADESIVA P/TERMINAL DE LEITURA MCEE/I-01 127V/60Hz	OUTROS
4480	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	EPI
4481	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	EPI
4482	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	EPI
4483	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	EPI
4484	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	EPI
4485	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	EPI
4486	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	EPI
4487	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	EPI
4495	CADEIRA SECRETÁRIA EXECUTIVA BACK SYSTEM BRAÇO REGULÁVEL	OUTROS
4503	FITA POLIÉSTER RIBBON DE RESINA PURA COR PRETO 110MX74MM	OUTROS
4504	PILHA ALCALINA RECARREGAVEL AA MODELO 2300mAh	ESCRITÓRIO
4505	COPO PLÁSTICO PP DESCARTÁVEL 200ML (C/ 2.500)	OUTROS
4509	ABRAÇADEIRA NYLON 760MM² DDT-1750 I5	OUTROS
4513	ALÇA PREFORMADA AÇO 10MM² TRIPOLAR CB	OUTROS
4519	FIO RIGIDO (FIO SÓLIDO) 1,50MM PRETO 750V	OUTROS
4520	PRENSA-CABO COMPLETO-BSP 1/2" LP+P/UV-LT-PA-40DAN	OUTROS
4521	PRENSA-CABO - BSP 3/4" LP+P/UV-LT-PA-40DAN	OUTROS
4529	ISOLADOR DE PORCELANA PINO MULTICORPO 34,5kV MARROM ANSI-56-3	OUTROS
4539	BORNE P/ 4MM BO529 PRETO	OUTROS
4544	FORMULÁRIO "CONTROLE DE SERVIÇOS HH" C/30 FLS (30X3) TAM.155X215MM	OUTROS
4546	FITA POLIÉSTER RIBBON C/ENTINTAMENTO RESINA 110X450 METROS	OUTROS
4551	ETIQUETA ADESIVA "BOPP PEROLADO" 103x126MM - ROLO 83 METROS	OUTROS
4557	FITA ADESIVA MARROM P/ EMBALAGENS 45X45MM	OUTROS
4558	CHAVE FUSÍVEL 15kV/200A, C/SUPORTE, CARTUCHO CINZA	OUTROS
4560	CHAVE FUSÍVEL 36kV/100A, C/SUPORTE, CARTUCHO CINZA	OUTROS
4563	ALICATE BOMBA D'AGUA 9-1/2''	FERRAMENTAL
4572	SOPRADOR TÉRMICO MODELO HL 1800	OUTROS
4573	CABO DE ALUMÍNIO 15KV BLOQUEADO 185MM² MODELO XLPE	OUTROS
4574	ISOLADOR DE PORCELANA DISCO ANSI 52-1 - 165x140mm	OUTROS
4585	PORTA FOLDER ACRÍLICO C/BOLSA NO FORMATO A3 ESPESSURA 3MM	ESCRITÓRIO
4586	ETIQUETA ADESIVA LOGO CAM TAMANHO 11,5X5,5CM (VERSÃO ATUAL)	OUTROS
4588	PUNÇÃO DE AÇO ISOLADA 6X150MM	FERRAMENTAL
4590	CABO ARMADO BNAFP 0,6/1KV 4X4MM²	OUTROS
4591	NO BREAK SMS 1800va 120v	OUTROS
4613	CUNHA SEPARADORA DE FASES POLÍMERICA	OUTROS
4614	MEDIDOR ION 8600C 2MB 5A AUX-65-120VAC  FUNÇÃO: P8600C0C0H6E1A0A	OUTROS
4615	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-01 ATUAL	OUTROS
4616	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE MEDIDA 485 120V-60 VERSÃO-02 ATUAL	OUTROS
4617	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE CONTROLE PLC 120V -60 VERSÃO-01 ATUAL	OUTROS
4618	LACRE TRANK 1 C/RABICHO AMARELO	OUTROS
4619	TACÓGRAFO DE DISCO 125KM P/ 7 DIAS	OUTROS
4624	TACÓGRAFO DE DISCO 180KM P/ 7 DIAS	OUTROS
4634	MANGA DE BORRACHA	EPC
4639	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO P	EPI
4640	CAIXA P/ MÓDULO RF	OUTROS
4641	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO M	EPI
4642	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO G	EPI
4643	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAM.XG	EPI
4652	ESTABILIZADOR SMS 300VA MONO	OUTROS
4660	FERRO DE SOLDA HIK PLUS 110V	OUTROS
4662	CHAVE CATRACA ISOLADA CABEÇA REVERSÍVEL, 9.5/8" PARA 1000V	FERRAMENTAL
4663	SOQUETE 13 MM P/CHAVE CATRACA	FERRAMENTAL
4673	ESCADA SINGELA EM FIBRA DE VIDRO TAM. 8M	OUTROS
4691	BATERIA P/PARAFUSADEIRA TD020DSW	OUTROS
4713	EMBALAGEM PAPELÃO CONJ.2	OUTROS
4720	CABO FLEXÍVEL PP 2 VIAS 2X0.30MM² DE COBRE 500V	OUTROS
4725	MEDIDOR TRIFASICO PLC INDIRETO  MTSE02 I1 120V	OUTROS
4728	TACÓGRAFO DE DISCO 125KM P/ 24 HORAS	OUTROS
4729	CHAVE FUSÍVEL 15kV/100A, S/SUPORTE, CARTUCHO VERMELHO	OUTROS
4730	CAIXA DE DISPLAY COM PLACA DE IDENTIFICAÇÃO	OUTROS
4733	CAPA P/TERMINAL FEMEA TAM.4MM (CONEXÃO SWITCH)	OUTROS
4740	ABRAÇADEIRA FITA NYLON 100X2,5MM	OUTROS
4751	MÓDULO DE MEDIDA MODELO MEP01-C/CRD 127V 2.5(10)A CLI 1600imp 60HZ  MACRO MEDIÇÃO	OUTROS
4757	PRENSA-CABO ROSQUEADO P/CABO 6-12MM REF.PM-1749 I1 "VERSÃO ANTIGA"	OUTROS
4759	PRENSA-CABO ROSQ.P/CX. BI/TRI 13/18MM "VERSÃO ANTIGA"	OUTROS
4760	PRENSA-CABO ROSQ. 1/2" P/ CX. BIF 21MM "VERSÃO ANTIGA"	OUTROS
4761	PILHA PEQUENA ALCALINA MODELO AA 1.5V	ESCRITÓRIO
4762	ETIQUETA ADESIVA "BOPP BRANCA" 55x15MM - ROLO C/2000 ETIQUETAS	OUTROS
4764	PREGO C/ CABEÇA 17 X 27	OUTROS
4765	FAROLETE MANUAL DE LONGO ALCANCE C/CABO DE 2METROS (SEALED BEAN)	OUTROS
4766	JOGO DE SOQUETES DE 1/2" C/ 18 PEÇAS	FERRAMENTAL
4767	CHAVE COMBINADA S/ISOL 3/8MM BOCA ESTRIA	FERRAMENTAL
4768	MATRIZ W 243 P/ ALICATE MD 6	FERRAMENTAL
4769	MATRIZ W 163 P/ ALICATE MD 6	FERRAMENTAL
4770	MATRIZ W 162 P/ ALICATE MD 6	FERRAMENTAL
4771	MATRIZ WC P/ ALICATE MD 6	FERRAMENTAL
4772	MATRIZ WO P/ ALICATE MD 6	OUTROS
4773	MATRIZ W 249 P/ ALICATE MD 6	FERRAMENTAL
4774	DISJUNTOR BIFASICO MOD.5SX1  2  50V 380V~ SIEMENS	OUTROS
4775	DISJUNTOR TRIFASICO MOD.5SP43  100V 400V~ SIEMENS	OUTROS
4776	DISJUNTOR MONOFASICO 1 X 40A  GE	OUTROS
4777	DISJUNTOR BIPOLAR  2X25A MOD.TQC2425  25A GE	OUTROS
4778	DISJUNTOR TRIPOLAR  3X30A MOD.TQC3430  30A GE	OUTROS
4779	DISJUNTOR BIPOLAR  2X70A MOD.TQC2470  70A GE	OUTROS
4780	DISJUNTOR TRIPOLAR  40A MOD.THQC3440  40A GE	OUTROS
4781	DISJUNTOR BIPOLAR  2X40A MOD.TQC2440  40A GE	OUTROS
4782	DISJUNTOR TRIPOLAR  70A MOD.CL3070  70A ELETROMAR	OUTROS
4783	DISJUNTOR BIPOLAR  50A MOD.TQC2450  50A GE	OUTROS
4784	LÂMPADA DICRÓICA 50W - 220V	OUTROS
4785	LAMPADA MISTA 250W 220-240V MODELO E27	OUTROS
4786	LÂMPADA MISTA DE 250W  220-230V MODELO E27	OUTROS
4787	LAMPADA FLUORESCENTE 15W 127V E27 - BRANCA	OUTROS
