Material	Descrição do item	Código NCM	Preço R$
8532	DIVISORIA DIVILUX COM PERFIL NAVAL	4601.21.00	R$ 95,99
9307	DUREX 18 X 50	3920.20.19	R$ 0,00
10636	DUTO PEAD KANADUTO- E DN 110 PRETO 450N - NBR 15715 COM 100M	3917.21.00	R$ 920,00
10637	DUTO PEAD KANADUTO- E DN 160 PRETO 450N - NBR 15715 COM 50M	3917.21.00	R$ 741,00
10428	DUTO PEAD KANADUTO-E DN 32 PRETO (T2) COM 100 M	3917.21.00	R$ 217,00
10579	DUTO PEAD KANADUTO-E DN 63 PRETO 450 N - NBR 15115 COM 100M	3917.21.00	R$ 480,00
10638	DUTO PEAD KANAFLEX DE 250 (8) NBR 15715 C/ 50M, 2TAMP, A.GUIA, F.AVISO ALTA TENSAO	3917.21.00	R$ 1.599,50
10580	DUTO PEAD KANALEX DE 125 (4) NBR 15 715 C/100M 2 TAMP A.AGUIA F . AVISO ALTA TENSAO	3917.21.00	R$ 1.332,00
3815	DVD-GRAVÁVEL 4.7GB S/ CAPA	8523.40.11	R$ 0,66
8153	ECOPRIMER BR 181	2715.00.00	R$ 63,45
3998	ELÁSTICO AM. C/25 GRAMAS	4016.99.90	R$ 11,90
3999	ELÁSTICO AM. SACO C/1KG	4016.99.90	R$ 20,00
8692	ELÁSTICO LATEX 100 G - PACOTE	4016.99.90	R$ 2,50
8510	ELEMENTO P/ VARA MANOBRA VMR-15	8547.20.90	R$ 50,00
9127	ELEMENTO VERTICAL C/ ESCADA C/ PONTE	7308.40.00	R$ 286,00
9128	ELEMENTO VERTICAL SIMPLES C/ PONTA	7308.40.00	R$ 240,00
10261	ELETRODO CX C/5KGS 46 2,5MM	8311.10.00	R$ 170,00
11146	ELETRODUTO AC GF NBR5598 C/ROSCA BSP 3'	7306.30.00	R$ 0,00
11143	ELETRODUTO AC GF PES C/ LUV 2,65MM 1'	7306.30.00	R$ 0,00
10552	ELETRODUTO AC GF PES C/LUV 3MM 2 BSP 3000MM NBR	7306.30.00	R$ 249,16
10531	ELETRODUTO AC GF PES C/LUV 3MM 2' BSP 3000MM NBR	7306.30.00	R$ 249,16
10618	ELETRODUTO ACO CARBONO ROSCAVEL RR 4POL GALV FOGO BSP NBR 5598 (BR C/3 M) P=3,75 MM TPAZ C/LUVA	7306.30.00	R$ 0,00
10616	ELETRODUTO ACO CARBONO ROSCAVEL RR 4POL GALV FOGO BSP NBR 5598 (BR C/3M)	7306.30.00	R$ 0,00
11089	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 2POL CAPA PVC PT 600 (RLC/30M)	8307.90.00	R$ 0,00
11090	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 2POL CAPA PVC PT 600 (RLC/30M)	8307.90.00	R$ 0,00
11091	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 2POL CAPA PVC PT 600 (RLC/30M)	8307.90.00	R$ 0,00
11092	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 2POL CAPA PVC PT 600 (RLC/30M)	8307.90.00	R$ 0,00
11093	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 2POL CAPA PVC PT 60G (RLC/10M)	8307.10.90	R$ 0,00
11147	ELETRODUTO FLEXIVEL FITA ACO ESPIRAL ZINCADO 3POL CAPA PVC PT 60G (RLC/15M)	8307.90.00	R$ 0,00
10546	ELETRODUTO SEAL TUBO ACO ZINC PVC	8307.90.00	R$ 6,25
11136	ELETRODUTO SEAL TUBO ACO ZINC PVC 1' TGVP	8307.90.00	R$ 0,00
10635	ELETRODUTO SEAL TUBO ACO ZINC PVC 1'' TGVP PT	8307.90.00	R$ 6,25
10554	ELETRODUTO SEAL TUBO PVC 1 PT	8307.10.90	R$ 6,25
9555	ELO DE SUSTENTAÇÃO SOLDADO 4TN	7317.00.90	R$ 0,00
9852	EMBALAGEM  - CESTA BÁSICA	3923.29.10	R$ 2,00
11150	EMENDA F FEMEA FEMEA COAXIAL RG59 RG6 CABO CONECTOR	8529.90.90	R$ 1,25
3837	EMENDA REUTILIZAVEL DOS CONDUTORES SIMPLES	8536.90.90	R$ 3,29
8713	EMPILHADEIRA	8427.90.00	R$ 44.000,00
8701	Empilhadeira 2,5T - Linde H25	8427.10.11	R$ 0,00
8294	EMPILHADEIRA STILL FMX17 341833B03253	8427.20.10	R$ 72.000,00
9367	ENCERADO DE LONA 4,00M X 3,00M	5903.10.00	R$ 0,00
8025	ENCOSTO DA ESFERA EM NYLON	3916.90.90	R$ 30,56
9505	ENGATE RAPIDO 1/4	3917.40.90	R$ 20,00
8579	ENTORNO LABORAL A1/B1 EDICION AMPLIADA + AUDIO DESCARGABLE	4901.99.00	R$ 0,00
7438	ENVELOPE BRANCO 114X229 C/ 100 JANELA C/ TRANSPARECIA	4817.10.00	R$ 9,00
10198	ENVELOPE FORMATO OFICIO 22.0x 11.3 PAPEL OFF SET 90g 4/0 COR	4817.10.00	R$ 0,00
10197	ENVELOPE FORMATO SACO 22.5x31.1 PAPEL OFF SET 90g 4/0 COR	4817.10.00	R$ 0,00
4017	ENVELOPE K NATURAL 26X36 80G	3926.10.00	R$ 21,09
10194	ENVELOPE KRAFT 229X324	3926.10.00	R$ 0,23
7333	ENVELOPE OFÍCIO 114X229 S/RPC C/ 1000 UNID	4817.10.00	R$ 52,50
4281	ENVELOPE PAPEL COR BRANCO 240X340MM		R$ 0,40
7557	ENVELOPE PAPEL COR OURO 240X340MM		R$ 0,17
4893	ENXADA 2.5 LIBRAS	8201.30.00	R$ 10,73
4894	ENXADÃO TAMANHO 38 X 105 X 305 MM	8201.30.00	R$ 35,00
11153	ESCADA 2 DEGRAUS FIBRA	7616.99.00	R$ 0,00
11152	ESCADA 6 DEGRAUS FIBRA	7019.90.90	R$ 0,00
9172	ESCADA CLIMA CONSTELLATION CR	8708.29.19	R$ 0,00
8205	ESCADA DE ALUMÍNIO	7616.99.00	R$ 1.770,00
8871	ESCADA DE FIBRA DE VIDRO C/ 7 DEGRAUS ANTIDERRAPANTE	7019.90.90	R$ 535,00
8105	ESCADA EXTENSIVA 4,8M	4421.90.00	R$ 96.712,00
4466	ESCADA EXTENSIVA FIBRA VIDRO	7616.99.00	R$ 1.750,00
7682	ESCADA EXTENSÍVEL PERFIL OBLONGO - FIBRA DE VIDRO - 7,83 COMP	7019.90.90	R$ 4.000,00
4311	ESCADA EXTENSÍVEL PERFIL U COMP.7,87 DEGRAU ISOLADO	7019.90.90	R$ 2.165,90
4464	ESCADA MADEIRA EXTENSÍVEL 6M / 10.80M	4421.99.00	R$ 0,00
4465	ESCADA MADEIRA SINGELA 4.20M	4421.99.00	R$ 0,00
9379	ESCADA PARALELA 9 DEGRAUS ALUMINIO VONDER	8301.10.00	R$ 0,00
10389	ESCADA PLATAFORMA	7616.99.00	R$ 0,00
8183	ESCADA PLATAFORMA	7616.99.00	R$ 1.870,00
4673	ESCADA SINGELA EM FIBRA DE VIDRO TAM. 6,690M	8205.59.00	R$ 630,00
5486	ESCADA SINGELA FIBRA DE VIDRO 4,00M	7019.90.90	R$ 873,62
7681	ESCADA SINGELA PERFIL OBLONGO - FIBRA DE VIDRO - 4,64 COMP	7019.90.90	R$ 2.000,00
7517	ESCALA RINGELMANN	9017.80.90	R$ 20,00
7449	ESCOVA DE AÇO	9603.90.00	R$ 3,09
4874	ESCOVA IND CIR AC 150X25X30MM	9603.40.90	R$ 16,00
8711	ESCOVA SANITÁRIA C/POTE	9603.90.00	R$ 7,99
9089	ESCOVÃO PARA MÁQUINA DE LAVAR PISO	8509.80.10	R$ 0,00
9040	ESGUICHO PISTOLA P/ MANGUEIRA	8205.40.00	R$ 9,99
6196	ESGUICHO REGULAVEL DE 2'' 1/2	5909.00.00	R$ 95,00
9515	ESMERIL DE BANCADA 1 CV MONOFASICO	8460.90.90	R$ 450,00
9498	ESMERILHADEIRA 4.1/2 850W 220V MAKITA	8467.29.99	R$ 400,00
9247	ESMERILHADEIRA BOSCH ANGULAR 4.1/2" 850W - 127V	8467.29.99	R$ 536,15
8576	ESMERILHADEIRA ELETR 4.1/2" 600W	8467.29.99	R$ 230,00
4740	ESPACADOR	3926.90.90	R$ 0,00
9072	Espanador de Pó	9603.90.00	R$ 35,99
8984	ESPARADRAPO 10CM X 4,5M	3005.10.30	R$ 0,00
5749	ESPARADRAPO 5CMX4,5M	3005.10.30	R$ 0,00
8562	ESPELHO CONVEXO 60CM DIAMETRO, ANTI ESTILHAÇAMENTO E BORDA DE BORRACHA	7009.91.00	R$ 266,23
9205	ESPIGÃO DE ROSCA 1/4 PARA MANGUEIRA 1/4	8424.30.90	R$ 12,50
8597	ESPONJA - PCT C/ 4 UNIDADES	6805.30.90	R$ 1,00
5134	ESPONJA DUPLA FACE  VD/AM	6805.30.90	R$ 1,35
8101	ESPUMA EXPANSIVA	3909.50.19	R$ 13,44
10525	ESPUMA EXPANSIVA 360G	3909.50.19	R$ 23,90
10516	ESPUMA EXPANSIVA 360G	3909.50.19	R$ 23,90
11185	ESPUMA EXPANSIVA 360G	3909.50.19	R$ 0,00
4823	ESQUADRO C/ CABO PLASTICO 20CM	9017.80.10	R$ 6,56
9861	ESQUADRO DE AÇO	9017.80.10	R$ 15,00
7339	ESTABILIZADOR APC 300VA MONO115	9032.89.11	R$ 129,00
9892	ESTABILIZADOR DE ESCADA (PAR)	4008.29.00	R$ 750,00
4652	ESTABILIZADOR SMS 300VA MONO	9032.89.11	R$ 149,00
8835	ESTABILIZADOR SMS BIVOLT 300VA	9032.89.11	R$ 111,00
7713	ESTABILIZADOR SMS REVOLUTION SPEEDY 115V 300VA USP300S 115 16520	9032.89.11	R$ 0,00
8429	ESTANTE DE ACO COM PRATELEIRAS	9403.10.00	R$ 220,00
9511	ESTANTE GAVETEIRO C/ 21 GAVETAS	8716.90.90	R$ 526,00
6664	ESTICADOR DE CORREIA	8426.99.00	R$ 99,23
4889	ESTICADOR P/CABO DE AÇO 3,18 a 12,7MM	8205.59.00	R$ 4,78
4884	ESTICADOR P/CABO DE AÇO 5, 8 a 10 e 16MM	8205.59.00	R$ 63,50
8905	ESTILETE DE SEGURANÇA BICO DE PATO	8211.93.90	R$ 30,50
3806	ESTILETE LARGO	8211.94.00	R$ 3,50
9603	ESTILETE LARGO PROFISSIONAL 18MM (EMBORRACHADO)	8211.93.90	R$ 20,05
9078	ESTILETE PEQUENO	8211.93.90	R$ 2,50
9426	ESTILETE RETRÁTIL STARRET EXACT PLUS	8211.93.90	R$ 65,00
10256	ESTOFADO DE 2 LUGARES	9401.61.00	R$ 0,00
10257	ESTOFADO DE 3 LUGARES	9401.61.00	R$ 0,00
10148	ESTOJO DE RODA	7318.15.00	R$ 0,00
9362	ESTOJO PARA ÓCULOS DE SEGURANÇA	6307.90.90	R$ 8,00
5753	ESTOJO PRIMEIROS SOCORROS	3923.10.90	R$ 85,00
8509	ESTRADO ISOLANTE ELET. BORRACHA 20KV	2508.30.00	R$ 22,32
10558	ESTRADO POLIPROPILENO PRETO 50X50X5CM	3901.20.29	R$ 33,90
10274	ESTROPO CABO AÇO 3/4 - cap 4 ton	7312.10.10	R$ 250,00
6723	ETILÔMETRO MOD. ALCOSTOP A C/ CALIBRAÇÃO (BAFÔMETRO)	9027.80.99	R$ 0,00
3958	ETIQUETA ADESIVA 50X25MM 2C BOPP BRANCO	4821.10.00	R$ 5,50
10232	ETIQUETA ADESIVA COUCHÊ 100 X 100 - COR BRANCA	4821.90.00	R$ 59,00
9994	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR AMARELO	4811.41.90	R$ 36,00
9995	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR AZUL CLARO	4811.41.90	R$ 36,00
9991	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR CINZA	4811.41.90	R$ 19,35
9993	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR LARANJA CLARO	4811.41.90	R$ 19,35
9992	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR LARANJA ESCURO	4811.41.90	R$ 19,35
10401	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR ROSA ESCURO	4811.41.90	R$ 36,00
10402	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR ROXO ESCURO	4811.41.90	R$ 36,00
8922	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR VEMELHA	4811.41.90	R$ 36,00
8925	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: AZUL	4811.41.90	R$ 19,35
8923	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: LARANJA	4811.41.90	R$ 36,00
8928	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: ROSA	4811.41.90	R$ 36,00
8924	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: ROXO	4811.41.90	R$ 36,00
8927	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: VERDE CLARO	4811.41.90	R$ 36,00
8926	ETIQUETA ADESIVA COUCHÊ 100 X 50 - COR: VERDE ESCURO	4811.41.90	R$ 36,00
8865	ETIQUETA ADESIVA COUCHÊ 100X50 - COR BRANCA	4811.41.90	R$ 32,00
4856	ETIQUETA ADESIVA COUCHÊ 100X80 - COR BRANCA	4821.90.00	R$ 48,58
4617	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE CONTROLE PLC 120V -60 VERSÃO-01 ATUAL	4821.10.00	R$ 2,01
3762	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-0 OBSOLETA	4821.10.00	R$ 0,00
4615	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-01 ATUAL	4821.10.00	R$ 2,05
5058	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 240V-60 VERSÃO-0	4821.10.00	R$ 0,00
3745	ETIQUETA ADESIVA IDENTIFICADORA N°0, PM-1862I1R3  - 6X9cm	4821.10.00	R$ 1,99
3746	ETIQUETA ADESIVA IDENTIFICADORA N°1, PM-1862I2R3  - 6X9cm	4821.10.00	R$ 1,99
3747	ETIQUETA ADESIVA IDENTIFICADORA N°2, PM-1862I3R3  - 6x9cm	4821.10.00	R$ 1,99
3748	ETIQUETA ADESIVA IDENTIFICADORA N°3, PM-1862I4R3  - 6x9cm	4821.10.00	R$ 1,99
3749	ETIQUETA ADESIVA IDENTIFICADORA N°4, PM-1862I5R3  - 6x9cm	4821.10.00	R$ 1,99
3751	ETIQUETA ADESIVA IDENTIFICADORA N°5, PM-1862I6R3  - 6X9cm	4821.10.00	R$ 1,99
3752	ETIQUETA ADESIVA IDENTIFICADORA N°6, PM-1862I7R3  - 6X9cm	4821.10.00	R$ 1,99
3753	ETIQUETA ADESIVA IDENTIFICADORA N°7, PM-1862I8R3  - 6X9cm	4821.10.00	R$ 1,99
3754	ETIQUETA ADESIVA IDENTIFICADORA N°8,PM-1862I9R3   - 6X9cm	4821.10.00	R$ 1,99
3756	ETIQUETA ADESIVA IDENTIFICADORA N°9,PM-1862I10R3 - 6X9cm	4821.10.00	R$ 1,99
3791	ETIQUETA ADESIVA LOGO AMPLA P/TAMPA DA CAIXA CONCENTRADOR 8,5X11CM	4821.10.00	R$ 0,92
5417	ETIQUETA ADESIVA LOGO ANATEL P/ MÓDULO RF	3917.40.90	R$ 6,00
4586	ETIQUETA ADESIVA LOGO CAM TAMANHO 11,5X5,5CM (VERSÃO ATUAL)	3506.91.90	R$ 0,71
4372	ETIQUETA ADESIVA LOGO COELCE TAM.	4821.10.00	R$ 0,23
4477	ETIQUETA ADESIVA P/TERMINAL DE LEITURA MCEE/I-01 127V/60Hz	4821.10.00	R$ 2,95
4940	ETIQUETA ADESIVA TRANSPARENTE 19X3.2CM 02 CORES MODULO MEDIDA	4821.10.00	R$ 0,00
8815	ETIQUETA COUCHE 85 X 50 X 1C - BRANCA - ROLO	4811.41.90	R$ 45,90
9189	ETIQUETA DE IDENTIFICAÇÃO TP-19 AMARELA (200 UN)	4821.10.00	R$ 3,60
9188	ETIQUETA DE IDENTIFICAÇÃO TP-19 VERDE (200 UN)	4821.10.00	R$ 3,60
9187	ETIQUETA DE IDENTIFICAÇÃO TP-19 VERMELHA (200 UN)	4821.10.00	R$ 3,60
9875	ETIQUETA EM POLIÉSTER BRANCO AUTO ADESIVO CHAPADO PANTONE 1225 C	4821.10.00	R$ 0,00
8703	ETIQUETA INKJET COD A4349  A4 C/100FLS	4821.90.00	R$ 51,23
7321	ETIQUETA INKJET+LASER COD 6180 C/100FLS 30		R$ 44,74
7382	ETIQUETA INKJET+LASER COD 6183 C/100FLS 10		R$ 32,79
7323	ETIQUETA INKJET+LASER COD 6184 C/100FLS 6		R$ 45,99
7322	ETIQUETA INKJET+LASER COD 6187 C/100FLS 80		R$ 45,97
6763	ETIQUETA LACRE MR 2CM X 3CM (PADRÃO AMPLA)	4811.49.90	R$ 0,00
9677	ETIQUETA P/ LAUDO CINZA 30X30 (C/1000)	4821.10.00	R$ 0,00
5140	ETIQUETA P/ LAUDOS AMARELA 30X30 (C/ 1.000)	4821.10.00	R$ 38,00
5144	ETIQUETA P/ LAUDOS BRANCA 30X30 (C/ 1.000)	4821.10.00	R$ 7,90
9209	ETIQUETA P/ LAUDOS LARANJA 30X30 (C/ 1.000)	4821.10.00	R$ 0,00
7420	ETIQUETA P/ LAUDOS VERDE 30X30 (C/ 1.000)		R$ 38,00
7419	ETIQUETA P/ LAUDOS VERMELHA 30X30 (C/ 1.000)	4821.10.00	R$ 23,50
4616	ETIQUETA P/ MÓDULO ELETRON. 485 SIST. MEDIÇÃO PLC CONPLANT.	4821.10.00	R$ 3,50
8820	ETIQUETA PAINEL NAMEPLATE 1(10) A	3919.90.90	R$ 6,88
5654	ETIQUETA PAINEL NAMEPLATE 5(20) A	3919.90.90	R$ 8,33
5676	ETIQUETA PAINEL NAMEPLATE ION 7650B	3919.90.90	R$ 8,33
5913	ETIQUETA PARA BASTÃO DE MANOBRA / VARA TELESCOPICA	4908.90.00	R$ 1,58
8524	ETIQUETA PIMACO INKJET + LASER - PAPEL CARTA 6282	4821.90.00	R$ 20,40
4413	ETIQUETA PIMACO REF.61082 33,9X101,6MM FOLHA C/30 UNIDADES	4821.10.00	R$ 58,00
9830	ETIQUETA TERMICA 100X50 - ROLO	4821.10.00	R$ 29,90
9710	ETIQUETA TÉRMICA ADESIVA 065 X 025 BRANCA - ROLO C/1000	4821.10.00	R$ 45,00
10373	ETIQUETA-IDENT. EQUIPAMENTO EM INVÓLUCRO	4821.10.00	R$ 0,26
10374	ETIQUETA-IDENT.CAIXA MEDIDOR-AZUL	4821.10.00	R$ 0,16
10375	ETIQUETA-IDENT.CAIXA MEDIDOR-VERMELHA	4821.10.00	R$ 0,16
7664	ETIQUETAS P/ LAUDOS ROSA 30X30 (C/1000)	4821.10.00	R$ 23,50
8697	EXAUSTOR 60W 220V	8414.59.90	R$ 150,00
7631	EXPOSITOR A3 CRISTAL	3926.10.00	R$ 12,43
7630	EXPOSITOR A4 CRISTAL	3926.10.00	R$ 7,52
8109	EXTENSÃO 127V 5M 10A C/ 3 TOMADAS	8544.49.00	R$ 15,12
4925	EXTENSÃO BRASICON 16A - 3P-S-1724	8544.49.00	R$ 15,00
8791	EXTINTOR ABC 1 KG - UNIVERSAL	8424.10.00	R$ 50,00
8790	EXTINTOR ABC 1KG - FIAT	8424.10.00	R$ 50,00
9963	EXTINTOR ABC 2K P/CAMINHÃO	8424.10.00	R$ 0,00
8792	EXTINTOR ABC 4KG 2A-20:BC	8424.10.00	R$ 135,00
8417	EXTINTOR DE CO2, 06 KG	8424.10.00	R$ 470,00
10289	EXTINTOR DE H2O	8424.10.00	R$ 0,00
10201	EXTINTOR DE INCÊNCIO PQS 6KG CLASSE ABC	8424.10.00	R$ 170,00
8931	EXTINTOR DE INCÊNDIO ABC DE 06 KG	8424.10.00	R$ 0,00
8876	EXTINTOR DE INCÊNDIO AP 10 L	8424.10.00	R$ 220,00
8887	EXTINTOR DE INCÊNDIO AP 10L - CLASSE A	8424.10.00	R$ 88,60
8886	EXTINTOR DE INCÊNDIO CO2 06 KG	8424.10.00	R$ 328,50
8932	EXTINTOR DE INCÊNDIO PO BC DE 06 KG	8424.10.00	R$ 170,00
8885	EXTINTOR DE INCÊNDIO PQS 12 KG - CLASSE ABC	8424.10.00	R$ 189,40
8877	EXTINTOR DE INCÊNDIO PQS 6KG	8424.10.00	R$ 105,00
9226	EXTINTOR DE PÓ PQS 4 kg	8424.10.00	R$ 0,00
8990	EXTRATOR DE FUSIVEL NH	8536.10.00	R$ 108,00
3986	EXTRATOR DE GRAMPO MOD.ESPATULA	9018.90.95	R$ 1,37
5592	FAIXA REFLETIVA P/ CONE	8608.00.90	R$ 16,00
9849	FARINHA DE MANDIOCA 500G	1106.20.00	R$ 2,29
9961	FAROLETE 12V COM 20M DE CABO	8513.10.10	R$ 0,00
4765	FAROLETE MANUAL DE LONGO ALCANCE C/CABO DE 2METROS (SEALED BEAN)	8513.10.10	R$ 108,46
4899	FASÍMETRO DIGITAL MODELO FS30 - GUBINTEC	9030.89.40	R$ 86,00
10488	FECHADURA ELETROÍMÃ ADVANCE	8301.40.00	R$ 457,31
8643	FECHADURA FE 2015 PRATA S/ SENSOR	8301.40.00	R$ 345,82
9261	FECHADURA PORTA VW TRACTOR/CONSTEL/DELIV APO 17	8301.20.00	R$ 0,00
9845	FEIJAO PRETO 1 KG.	0713.33.19	R$ 7,19
9339	FERRAMENTA	8205.59.00	R$ 0,00
9655	FERRAMENTA ROTATIVA DREMEL SAW-MAX SM20-03 710W	8467.29.92	R$ 0,00
9800	FERRO DE SOLDA 60W	8515.11.00	R$ 47,60
4660	FERRO DE SOLDA 70W 127V	8515.11.00	R$ 103,83
9930	FERRO DE SOLDA ELÉTRICA 40W	8515.11.00	R$ 0,00
9797	FIBRA BRANCA PARA LIMPEZA	6805.30.90	R$ 1,99
8712	FIBRA LIMPEZA GERAL - VERDE	6805.30.90	R$ 1,80
3973	FILME PARA EMBALAGEM, STRECH, BOBINA DE 500 MM	3920.10.99	R$ 35,99
8604	FILME STRETCH 500MM X 0,025MM	3920.10.99	R$ 60,00
9979	FILTRO AR PRIMÁRIO AF25997	8421.23.00	R$ 0,00
9532	FILTRO BRANCO DE 5 POLEGADAS C/ REFIL DE ROSCA	8421.21.00	R$ 0,00
9750	FILTRO C281012-ARS9841	8421.99.99	R$ 150,50
6495	FILTRO CAPACITIVO P/ MOD.CONTROLE 20K 300 (RV1/RV2/RV3)	8541.40.26	R$ 0,00
6505	FILTRO CAPACITIVO P/ MOD.CONTROLE CF60	8541.60.90	R$ 1,78
6504	FILTRO CAPACITIVO P/ MOD.CONTROLE CF61	8541.60.90	R$ 1,78
9319	FILTRO CART QUIM VO/GA 6003/60 H0002129056 3M	8421.39.90	R$ 25,43
9978	FILTRO COMBUST RACOR	8421.23.00	R$ 150,00
9975	FILTRO COMBUSTÍVEL ECONOMY	8421.23.00	R$ 0,00
9310	FILTRO DE AR 9841	8421.99.99	R$ 24,00
9309	FILTRO DE COMBUSTÍVEL PU 1046	8421.23.00	R$ 116,50
8443	FILTRO DE LINHA 6 TOMADAS 1.50 MTS PRETO BIVOLT	8535.90.00	R$ 64,19
9974	FILTRO DE PAPEL P/ CAFÉ Nº 102	4823.20.99	R$ 4,85
9312	FILTRO HU 94512x	8421.99.99	R$ 75,50
9976	FILTRO LUBRIFICANTE	8421.23.00	R$ 0,00
10133	FILTRO ÓLEO MOTOR	8421.29.90	R$ 0,00
6506	FILTRO PTC RESISTIVO PTC1	8541.40.26	R$ 0,34
9204	FILTRO REGULADOR DE AR YANGUI	8421.31.00	R$ 125,00
9311	FILTRO WK 1060/4	8421.29.90	R$ 43,90
8141	FIO BICOLOR POLARIZADO 2x1.5 MM	8544.49.00	R$ 1,09
4139	FIO FLEXÍVEL AUTO 2,5MM PRETO 750V	8544.49.00	R$ 0,65
8047	FIO PARALELO 2X1, 5 MM PRETO E VERMELHO	8544.59.00	R$ 0,00
9739	FIO RECOZIDO	7605.29.90	R$ 0,00
4519	FIO RIGIDO (FIO SÓLIDO) 1,50MM PRETO 750V	8544.49.00	R$ 0,47
9905	FITA 25MM C/GANCHO CATRACA	5806.32.00	R$ 40,55
9257	FITA 9MTS CONJ CATRACA C/ GANCHO 3T BRANCA / LARANJ	5806.32.00	R$ 72,00
8996	FITA 9MTS CONJ. CATRACA C/ GANCHO 3T BRANCA/LARANJA	5806.32.00	R$ 55,00
8287	FITA ADESIVA	5906.10.00	R$ 3,98
9111	FITA ADESIVA	4821.10.00	R$ 1,50
8521	FITA ADESIVA ANTI-DERRAPANTE ROLO 50X5	6805.30.90	R$ 21,60
8705	FITA ADESIVA HOT MELT 45 X 100M	3506.10.90	R$ 4,20
4557	FITA ADESIVA MARROM P/ EMBALAGENS 45X45MM	3919.10.00	R$ 2,01
4014	FITA ADESIVA TRANSPARENTE 12X30MM	3919.10.00	R$ 1,08
8786	FITA ADESIVA TRANSPARENTE 48MM X 100M	3919.10.10	R$ 8,20
11259	FITA ADESIVA TRANSPARENTE 48X50	3919.10.10	R$ 0,00
4026	FITA ADESIVA TRANSPARENTE C/LOGO CAM 48x50	3919.10.00	R$ 2,86
4020	FITA ADESIVA TRANSPARENTE PARA EMBALAGEM 45MMX45M	3919.10.10	R$ 3,16
9092	FITA BRANCA 100X260	4811.41.10	R$ 0,00
9530	FITA CORRETIVA	3824.90.29	R$ 5,05
6346	FITA CREPE 25X50	4811.41.90	R$ 4,97
9741	FITA DE ALUMINIO	7614.90.90	R$ 0,00
3674	FITA DE ANCORAGEM REVESTIDA 2 METROS REF: FT-AN200P	6201.93.00	R$ 52,00
3673	FITA DE ANCORAGEM REVESTIDA DE 1.20M C/ ABSORVEDOR	6307.20.00	R$ 38,00
3886	FITA DE ANCORAGEM REVESTIDA, DE 55CM	6201.93.00	R$ 94,00
9657	FITA DE ARQUEAR - 13MM	3920.20.19	R$ 194,99
6141	FITA DE PAPEL DUPLA FACE 18MMX30M	3919.10.00	R$ 6,50
8468	FITA DEMARCACAO DE SOLO 48MMX30MT - AMARELA	3919.90.00	R$ 20,12
8467	FITA DEMARCACAO DE SOLO 48MMX30MT - VERMELHA	3919.90.00	R$ 20,12
3843	FITA DUPLA FACE 19MMX20M (3M VERDE)	3506.10.90	R$ 22,80
8474	FITA DUPLA FACE 25MM X 65MTS	4811.41.10	R$ 10,00
10159	FITA DUPLA FACE 3M	4811.41.10	R$ 39,90
6408	FITA GOMADA 45X50	4811.41.10	R$ 9,99
9227	FITA GOMADA 60mmX160M ALLTAPE	4811.41.10	R$ 15,22
10535	FITA ISOL 23BR AUTOFUSAO PT 69KV 19MM 10M	4005.91.90	R$ 19,04
11132	FITA ISOL 23BR AUTOFUSAO PT 69KV 19MM 10M C/EMB H	4005.91.90	R$ 0,00
10536	FITA ISOL 33+ CL. A PT 19MM 20M	3919.10.20	R$ 14,54
11133	FITA ISOL 33+ CL.A PT 19MM 20M HB004482	3919.10.20	R$ 0,00
3763	FITA ISOLANTE  MODELO 35+AMARELA 19MMX20M	5906.10.00	R$ 8,04
3764	FITA ISOLANTE  MODELO 35+BRANCA 19MMX20M	3919.10.00	R$ 7,50
3765	FITA ISOLANTE  MODELO 35+VERDE 19MMX20M	3919.10.00	R$ 7,50
3767	FITA ISOLANTE  MODELO 35+VERMELHA 19MMX20M	3919.10.00	R$ 7,50
8656	FITA ISOLANTE 19 X 20M  33M + 3M	3919.10.20	R$ 20,50
8127	FITA ISOLANTE 3M IMPERIAL 18MM x 20M PRETA	5906.10.00	R$ 7,65
