MATERIAL	DESCRIÇÃO	UNID	TIPO DE MATERIAL	TEM CA?
4557	FITA ADESIVA MARROM P/ EMBALAGENS 45X45MM	UND  	OUTROS	-
4558	CHAVE FUSÍVEL 15kV/200A, C/SUPORTE, CARTUCHO CINZA	PC   	COMERCIALIZAÇÃO	-
4560	CHAVE FUSÍVEL 36kV/100A, C/SUPORTE, CARTUCHO CINZA	PC   	COMERCIALIZAÇÃO	-
4563	ALICATE BOMBA D'AGUA 9-1/2''	UND  	EPI/EPC/FERRAMENTAL	NÃO
4572	SOPRADOR TÉRMICO MODELO HL 1800	UND  	OUTROS	-
4573	CABO DE ALUMÍNIO 15KV BLOQUEADO 185MM² MODELO XLPE	MT   	COMERCIALIZAÇÃO	-
4574	ISOLADOR DE PORCELANA DISCO ANSI 52-1 - 165x140mm	UND  	COMERCIALIZAÇÃO	-
4585	PORTA FOLDER ACRÍLICO C/BOLSA NO FORMATO A3 ESPESSURA 3MM	UNID	ESCRITÓRIO	-
4586	ETIQUETA ADESIVA LOGO CAM TAMANHO 11,5X5,5CM (VERSÃO ATUAL)	UND  	FABRICAÇÃO	-
4588	PUNÇÃO DE AÇO ISOLADA 6X150MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4590	CABO ARMADO BNAFP 0,6/1KV 4X4MM²	pç	OUTROS	-
4591	NO BREAK SMS 1800va 120v	PÇ	OUTROS	-
4613	CUNHA SEPARADORA DE FASES POLÍMERICA	UND  	EPI/EPC/FERRAMENTAL	NÃO
4615	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-01 ATUAL	UND  	FABRICAÇÃO	-
4616	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE MEDIDA 485 120V-60 VERSÃO-02 ATUAL	UND  	FABRICAÇÃO	-
4617	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE CONTROLE PLC 120V -60 VERSÃO-01 ATUAL	UND  	FABRICAÇÃO	-
4618	LACRE TRANK 1 C/RABICHO AMARELO	UND  	OUTROS	-
4619	TACÓGRAFO DE DISCO 125KM P/ 7 DIAS	UND  	OUTROS	-
4624	TACÓGRAFO DE DISCO 180KM P/ 7 DIAS	UND  	OUTROS	-
4634	MANGA DE BORRACHA	UND  	EPI/EPC/FERRAMENTAL	SIM
4639	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO P	UND  	EPI/EPC/FERRAMENTAL	NÃO
4640	CAIXA P/ MÓDULO RF	UND  	FABRICAÇÃO	-
4641	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO M	UND  	EPI/EPC/FERRAMENTAL	NÃO
4642	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO G	UND  	EPI/EPC/FERRAMENTAL	NÃO
4643	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAM.XG	UNID	EPI/EPC/FERRAMENTAL	NÃO
4652	ESTABILIZADOR SMS 300VA MONO	UNID	OUTROS / CAM	-
4660	FERRO DE SOLDA HIK PLUS 110V	PC   	OUTROS	-
4662	"CHAVE CATRACA ISOLADA CABEÇA REVERSÍVEL, 9.5/8"" PARA 1000V"	UND  	EPI/EPC/FERRAMENTAL	NÃO
4663	SOQUETE 13 MM P/CHAVE CATRACA	UND  	EPI/EPC/FERRAMENTAL	NÃO
4673	ESCADA SINGELA EM FIBRA DE VIDRO TAM. 8M	UND  	EPI/EPC/FERRAMENTAL	NÃO
4691	BATERIA P/PARAFUSADEIRA TD020DSW	UND  	OUTROS	-
4713	EMBALAGEM PAPELÃO CONJ.2	UND  	OUTROS	-
4720	CABO FLEXÍVEL PP 2 VIAS 2X0.30MM² DE COBRE 500V	M2   	FABRICAÇÃO	-
4725	MEDIDOR TRIFASICO PLC INDIRETO  MTSE02 I1 120V	UND  	FABRICAÇÃO	-
4728	TACÓGRAFO DE DISCO 125KM P/ 24 HORAS	UND  	OUTROS	-
4729	CHAVE FUSÍVEL 15kV/100A, S/SUPORTE, CARTUCHO VERMELHO	UND  	COMERCIALIZAÇÃO	-
4730	CAIXA DE DISPLAY COM PLACA DE IDENTIFICAÇÃO	UND  	FABRICAÇÃO	-
4733	CAPA P/TERMINAL FEMEA TAM.4MM (CONEXÃO SWITCH)	UND  	FABRICAÇÃO	-
4740	ABRAÇADEIRA FITA NYLON 100X2,5MM	pç	OUTROS	-
4751	MÓDULO DE MEDIDA MODELO MEP01-C/CRD 127V 2.5(10)A CLI 1600imp 60HZ  MACRO MEDIÇÃO	UND  	FABRICAÇÃO	-
4757	"PRENSA-CABO ROSQUEADO P/CABO 6-12MM REF.PM-1749 I1 ""VERSÃO ANTIGA"""	UND  	OUTROS	-
4759	"PRENSA-CABO ROSQ.P/CX. BI/TRI 13/18MM ""VERSÃO ANTIGA"""	UND  	OUTROS	-
4760	"PRENSA-CABO ROSQ. 1/2"" P/ CX. BIF 21MM ""VERSÃO ANTIGA"""	UND  	OUTROS	-
4761	PILHA PEQUENA ALCALINA MODELO AA 1.5V	UND  	ESCRITÓRIO	-
4762	"ETIQUETA ADESIVA ""BOPP BRANCA"" 55x15MM - ROLO C/2000 ETIQUETAS"	UND  	FABRICAÇÃO	-
4764	PREGO C/ CABEÇA 17 X 27	UND  	OUTROS	-
4765	FAROLETE MANUAL DE LONGO ALCANCE C/CABO DE 2METROS (SEALED BEAN)	UND  	EPI/EPC/FERRAMENTAL	NÃO
4766	"JOGO DE SOQUETES DE 1/2"" C/ 18 PEÇAS"	KIT  	EPI/EPC/FERRAMENTAL	NÃO
4767	CHAVE COMBINADA S/ISOL 3/8MM BOCA ESTRIA	UND  	EPI/EPC/FERRAMENTAL	NÃO
4768	MATRIZ W 243 P/ ALICATE MD 6	CX   	EPI/EPC/FERRAMENTAL	NÃO
4769	MATRIZ W 163 P/ ALICATE MD 6	CX   	EPI/EPC/FERRAMENTAL	NÃO
4770	MATRIZ W 162 P/ ALICATE MD 6	CX   	EPI/EPC/FERRAMENTAL	NÃO
4771	MATRIZ WC P/ ALICATE MD 6	CX   	EPI/EPC/FERRAMENTAL	NÃO
4772	MATRIZ WO P/ ALICATE MD 6	CX   	OUTROS	-
4773	MATRIZ W 249 P/ ALICATE MD 6	CX   	EPI/EPC/FERRAMENTAL	NÃO
4774	DISJUNTOR BIFASICO MOD.5SX1  2  50V 380V~ SIEMENS	UND  	OUTROS	-
4775	DISJUNTOR TRIFASICO MOD.5SP43  100V 400V~ SIEMENS	UND  	OUTROS	-
4776	DISJUNTOR MONOFASICO 1 X 40A  GE	UND  	OUTROS	-
4777	DISJUNTOR BIPOLAR  2X25A MOD.TQC2425  25A GE	UND  	OUTROS	-
4778	DISJUNTOR TRIPOLAR  3X30A MOD.TQC3430  30A GE	UND  	OUTROS	-
4779	DISJUNTOR BIPOLAR  2X70A MOD.TQC2470  70A GE	UND  	OUTROS	-
4780	DISJUNTOR TRIPOLAR  40A MOD.THQC3440  40A GE	UND  	OUTROS	-
4781	DISJUNTOR BIPOLAR  2X40A MOD.TQC2440  40A GE	UND  	OUTROS	-
4782	DISJUNTOR TRIPOLAR  70A MOD.CL3070  70A ELETROMAR	UND  	OUTROS	-
4783	DISJUNTOR BIPOLAR  50A MOD.TQC2450  50A GE	UND  	OUTROS	-
4784	LÂMPADA DICRÓICA 50W - 220V	UND  	OUTROS	-
4785	LAMPADA MISTA 250W 220-240V MODELO E27	UND  	OUTROS	-
4786	LÂMPADA MISTA DE 250W  220-230V MODELO E27	UND  	OUTROS	-
4787	LAMPADA FLUORESCENTE 15W 127V E27 - BRANCA	UND  	OUTROS	-
4788	LÂMPADA  FLUORESCENTE 34W 127V - BRANCA	UND  	OUTROS	-
4789	LÂMPADA FLUORESCENTE 15W=70W  220-240V - BRANCA	UND  	OUTROS	-
4790	LÂMPADA DICRÓIDA DE 50W 127V	UND  	OUTROS	-
4791	LUVA DE CORRER P/TUBO PVC ROSCA DE 1/2	UND  	OUTROS	-
4792	LUVA DE CORRER P/ TUBO PVC ROSCA DE 3/4	UND  	OUTROS	-
4793	"LUVA DE EMENDA P/ ELETRODUTO  PVC DE 4"" 100MM"	UND  	OUTROS	-
4794	LUVA DE CORRER SOLDAVEL P/ELETRODUTO PVC DE 50MM	UND  	OUTROS	-
4795	LUVA DE SEGURANÇA NITRÍLICA  Nº28359- TAM.10 -EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
4796	ALÇA PREFORMADA AÇO P/CABO CONCENTRICO 6MM² BIPOLAR DNQ-195	UND  	OUTROS	-
4797	ALÇA PREFORMADA AÇO P/CABO PRE-REUNIDO 35MM² DNQ1958	UND  	OUTROS	-
4799	ALÇA PREFORMADA AÇO P/CABO PRE-REUNIDO 70MM² PM1958I13	UND  	OUTROS	-
4800	ALÇA PREFORMADA AÇO P/CABO PRE-REUNIDO 50MM² DNQ1958	UND  	OUTROS	-
4801	ALÇA PREFORMADA AÇO P/CABO PRE REUNIDO 25MM² DNQ1958	UND  	OUTROS	-
4802	ADAPTADOR  VOLT METEOR ENTRADA 120VCA SAIDA 6VDC	UND  	OUTROS	-
4803	ADAPTADOR  VOLT METEOR ENTRADA 220VCA SAIDA 8VDC	UND  	OUTROS	-
4804	ADAPTADOR DE PILHAS P/ LANTERNA 4 PILHAS GR	UND  	OUTROS	-
4805	ADAPTADOR P/CAIXA BI/TRIFASICO	UND  	OUTROS	-
4806	ADAPTADOR  VOLT PSION ENTRADA 230V~50Hz  SAÍDA 10V 250mA	UND  	OUTROS	-
4807	CABO PP FLEXÍVEL DE 2VIAS 1,0 MM² - 750V PRETO	UND  	OUTROS	-
4808	CAIXA CONEX P/LIGAÇÃO CONSUMIDOR COR BRANCA	UND  	OUTROS	-
4809	CAIXA CONEX P/LIGAÇÃO CONSUMIDOR COR PRETA	UND  	OUTROS	-
4810	CAIXA MEDIDOR POLIFASICO C/VISOR 370X230mm (OBSOLETO)	UND  	OUTROS	-
4817	CAIXA DE ATERRAMENTO	UND  	OUTROS	-
4818	"BROCA DE VÍDEA 3/8"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4819	CABO FLEXÍVEL PP 2 VIAS 2X0.50MM² DE COBRE 500V	MT   	FABRICAÇÃO	-
4820	CAIXA P/CONCENTRADOR MODELO LIGHT TAMANHO 600X400X225MM	UND  	OUTROS	-
4821	"CAIXA MEDIDOR POLIFASICO +TRAVA TAMPA - PM2157 ""CAIXA FOLLOW-UP"""	UND  	OUTROS	-
4822	CORRENTE P/MOTO SERRA MODELO 08 S	PC   	EPI/EPC/FERRAMENTAL	NÃO
4823	ESQUADRO C/ CABO PLASTICO 20CM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4824	FITA POLIESTER P/EMBALAGEM 16MM X 0.8MM	UND  	OUTROS	-
4828	CANTONEIRA PAPELÃO  P/EMBALAGEM DE 15CM	PC   	OUTROS	-
4829	"TAMPA P/CONDULETE D2 1"" C/ 2 FUROS"	UND  	OUTROS	-
4830	"DOBRADIÇA EM FERRO TAMANHO 1"" X 3  7/8"""	UND  	OUTROS	-
4831	"JOELHO ROSCA PVC 90 X 1/2"""	PC   	OUTROS	-
4832	GANCHO FECHADO C/BUCHA S8	UND  	OUTROS	-
4833	FITA VEDA ROSCA	UND  	OUTROS	-
4834	"FACÃO P/MATO TAMANHO 20"""	UND  	OUTROS	-
4836	"DISCO SERRA VÍDEA 4.3/8"" 110MM - MADEIRA"	UND  	OUTROS	-
4837	BUCHA PLÁSTICA S-7	UND  	OUTROS	-
4838	SOLDA FIO BASE ESTANHO RESINADO 500G 1.5	UND  	OUTROS	-
4839	PASTA POLIONDA TAMANHO A3 S/ALÇA ALTURA 2CM	UND  	ESCRITÓRIO	-
4841	FITA ZEBRADA AMARELA/PRETA 70MM P/200M-EPC	UND  	EPI/EPC/FERRAMENTAL	NÃO
4842	"DISCO DE CORTE DE 12""  NORTON"	UND  	OUTROS	-
4843	"COLHER PEDREIRO TAM.6"""	UND  	OUTROS	-
4844	"DISCO DE CORTE P/CORTE DE 14"" X 1/8"" X 1"""	UND  	OUTROS	-
4845	PÁ DE BICO TAMANHO 34 X 320 X 270 MM	UND  	OUTROS	-
4846	TAMPAS DE BORNE D8L/T8L	UND  	OUTROS	-
4847	TAMPAS DE BORNE POLIFÁSICO	UND  	OUTROS	-
4848	TAMPA SEG EM FERRO P/CAIXA DE MEDIDOR BI-TRI	UND  	OUTROS	-
4849	"DISCO CORTE P/FERRO 7"" X 1/8"" X 7/8"""	UND  	OUTROS	-
4850	CARREGADOR PILHA AA-AAA BATERIA IMPUT 110VCA	UND  	OUTROS	-
4851	CARREGADOR E COLETOR DADOS P/COLETOR ME	UND  	OUTROS	-
4856	ETIQUETA ADESIVA COUCHÊ 100X80 - COR BRANCA	UND  	OUTROS	-
4857	ÓLEO ISOLADO 68  20 LITROS	LT   	OUTROS	-
4858	CONTROLADOR DE LUMINÁRIAS	UND  	OUTROS	-
4859	MANTA BORRACHA BT MODELO CL TAMANHO 1000X400X2MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4860	"VERRUMA DE AÇO DE 3/16"" - 4.7MM"	UND  	OUTROS	-
4861	MOITÃO FORMAÇÃO 80X3 CAPACIDADE 1.200 KG	UND  	OUTROS	-
4862	"ETIQUETA ADESIVA ""BOPP BRANCA"" 15x15MM"	UND  	OUTROS	-
4864	ALICATE FUSINEC P/FIXAÇÃO DE FITA AÇO	UND  	EPI/EPC/FERRAMENTAL	NÃO
4865	"ESTROPO CABO AÇO FLEX 5/8"" C/ 1.20 ALÇA"	UND  	OUTROS	-
4866	CORDOALHA  DE AÇO FLEX DE 8MM C/10M	PC   	EPI/EPC/FERRAMENTAL	NÃO
4868	INTERRUPTOR SIMPLES	UND  	OUTROS	-
4869	INTERRUPTOR 2 SEÇÕES DE 4X2	UND  	OUTROS	-
4871	"TRADO P/MADEIRA DE 3/4"""	UND  	OUTROS	-
4872	BARRA DE SOLDA 60X40 100G	PC   	OUTROS	-
4873	CINTA AJUSTÁVEL P/ POSTE BAP2 800MM DDT174212R2	UND  	OUTROS	-
4874	ESCOVA IND CIR AC 150X25X30MM	UND  	OUTROS	-
4877	PARAFUSO CABEÇA REDONDA 6X16MM FENDA FERRO ZINCADO	UND  	OUTROS	-
4878	"PARAFUSO AUTO-ATARRAXANTE FENDA ZINCADO 3/16 X 1/2"""	UND  	OUTROS	-
4879	CURVA PVC RIG 50MM 180º CLASSE ADDT 1760	UND  	OUTROS	-
4880	CINTA P/POSTE DT 160X210MM DED 1003 I3 R2	UND  	OUTROS	-
4881	ARMAÇÃO SECUNDÁRIA DUPLA DED-0035R4	UND  	OUTROS	-
4882	BARRA ROSQUEÁVEL DE 5/8 X 1M	UND  	OUTROS	-
4883	PARAFUSO CABEÇA QUADRADA 150 X80 X 16MM	UND  	OUTROS	-
4884	ESTICADOR P/CABO DE AÇO 5, 8 a 10 e 16MM	UND  	OUTROS	-
4885	TRANSFORMADOR CORRENTE TP JANELA 100-5A CL0,560	UND  	OUTROS	-
4886	TRANSFORMADOR  CORRENTE TP JANELA 200-5A CL0,560	UND  	OUTROS	-
4887	TRANSFORMADOR CORRENTE TP JANELA 300-5A CL0,560	UND  	OUTROS	-
4888	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 7MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4889	ESTICADOR P/CABO DE AÇO 3,18 a 12,7MM	UND  	OUTROS	-
4890	CUNA P/COLETOR DE DADOS	UND  	OUTROS	-
4892	TALHADEIRA TIPO CORTA CHÃO DE 100X350MM	UND  	OUTROS	-
4893	ENXADA 2.5 LIBRAS	UND  	OUTROS	-
4894	ENXADÃO TAMANHO 38 X 105 X 305 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4895	FOICE P/MATO TAMANHO 35X280X95MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4896	FUSÍVEL HH TIPO U8 1000MVA 17,5KV 25A	UND  	OUTROS	-
4897	CAPACITADORES 220/39A	UND  	OUTROS	-
4898	CRONÔMETRO C/BATERIA	UND  	OUTROS	-
4899	FASÍMETRO DIGITAL MODELO FS30 - GUBINTEC	UND  	OUTROS	-
4900	BARRAMENTO BIFÁSICO REF.DED1841 - VERSÃO OBSOLETA	UND  	OUTROS	-
4901	BARRAMENTO TRIFÁSICO REF.DED1842R2 - VERSÃO OBSOLETA	UND  	OUTROS	-
4902	COLETOR DE DADOS MODELO JDG03 3x240/415V 50/60Hz	UND  	OUTROS	-
4903	COLETOR DADOS MODELO ECO486 METEOR (OBSOLETO)	UND  	OUTROS	-
4904	COLETOR DADOS MODELO WORKAOBUT 2MB RA PSION (OBSOLETO)	UND  	OUTROS	-
4906	TINTA ESMALTE SINTÉTICO C0R ALUM.- GALÃO 3.6 LITROS	UND  	OUTROS	-
4907	TINTA ESMALTE SINTÉTICO ACETINADO COR AZUL DEL REI	UND  	OUTROS	-
4908	TINTA ACRILICO FOSCO COR BRANCO NEVE	UND  	OUTROS	-
4909	"CONECTOR PARAFUSO FENDIDO LIGA METAL P/CABO 2.5 DE 16M -""OBSOLETO"""	UND  	OUTROS	-
4910	"CONECTOR CUNHA DERIVADO A/VIOLETA DED 1786 I1 ""OBSOLETO"""	UND  	OUTROS	-
4911	"CONECTOR CUNHA DERIVADO B/LARANJA DED 1786 I2 ""OBSOLETO"""	UND  	OUTROS	-
4912	"CONECTOR CUNHA DERIVADO C/MARRON  DED 1786 I3 ""OBSOLETO"""	UND  	OUTROS	-
4913	"CONECTOR A COMP ESTRIBO CA 2 AWG ""OBSOLETO"""	UND  	OUTROS	-
4915	"CONECTOR PARAFUSO FENDIDO ALUMINIO 35MM ""OBSOLETO"""	UND  	OUTROS	-
4916	CABO CONTROLE CU 0,6/1KV 4MM²	UND  	OUTROS	-
4918	CONDUTOR FLEXÍVEL CU 1 X 2,5MM²	UND  	OUTROS	-
4919	CONDUTOR CONCENTRICO CU BIPOLAR 4MM²	UND  	OUTROS	-
4920	CABO CONTROLE CU 4X6+6MM	UND  	OUTROS	-
4921	CABO CONTROLE CU 6X6MM	UND  	OUTROS	-
4922	CABO CONTROLE CU 4X4MM	UND  	OUTROS	-
4925	EXTENSÃO BRASICON 16A - 3P-S-1724	UND  	OUTROS	-
4926	PETCH PHENIO C/24 JANELAS	UND  	OUTROS	-
4927	"NIPLE PVC ROSCA 1/2"""	PC   	OUTROS	-
4928	TÊ SOLDÁVEL PVC 20MM	PC   	OUTROS	-
4930	"PORCA SEXTAVADA FERRO ZINCADO DE 5/8"""	UND  	OUTROS	-
4931	CORREDIÇA APOIADA C/PARAFUSO 45CM - BRANCA	UND  	OUTROS	-
4932	BATERIA MODELO 4R25  6V	UND  	OUTROS	-
4933	"CHAVE GRIFO TAM.14"""	PC   	EPI/EPC/FERRAMENTAL	NÃO
4935	DESEMPENADEIRA LISA C/ CABO DE MADEIRA-PEDREIRO	UND  	OUTROS	-
4936	LAÇO PREFORMADO AÇO CABO PRÉ REUNIDO 50MM²	UND  	OUTROS	-
4937	GRAMPO ATERRAMENTO REF.PM-0085 R4	PC   	EPI/EPC/FERRAMENTAL	NÃO
4938	CRONÔMETRO DIGITAL MODELO KK2802	UND  	OUTROS	-
4939	MACHADO C/CABO DE 2.360G	UND  	OUTROS	-
4940	ETIQUETA ADESIVA TRANSPARENTE 19X3.2CM 02 CORES MODULO MEDIDA	UND  	OUTROS	-
4942	TERMINAL MONOFASICO DE CONSULTA DE CONSUMO DE ENERGIA	UND  	OUTROS	-
4943	SIKA TIOPO TOP 107 EM GALÃO DE 3.6L	GL   	OUTROS	-
4944	TEXTURA RÚSTICA COR BRANCA LATA 18L	LT   	OUTROS	-
4945	TOTALIZADOR DE PULSOS CONTADOR ENERGIA	UND  	OUTROS	-
4946	CARRINHO DE MÃO C/ RODA MACIÇA	UND  	EPI/EPC/FERRAMENTAL	NÃO
4949	CALÇA EM BRIM AZUL ROYAL TAM.GG UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4952	"CAIXA MEDIDOR MONOFASICO C/4 VENT.TAMPA ""OBSOLETO"""	UND  	OUTROS	-
4953	"CAIXA POLIMETRO DE PROTEÇÃO GERAL MED 200A ""OBSOLETO"""	UND  	OUTROS	-
4954	"CAIXA POLIMETRO DE CONC-MED P/12+1 MÓDULOS ""OBSOLETO"""	UND  	OUTROS	-
4955	CAIXA POLIMETRO MEDIDOR P/48 DISJ. C/ BARRAMENTO.	UND  	OUTROS	-
4957	"ETIQUETA ADESIVA ""PERIGO DE ALTA TENSÃO""  18X60CM"	UND  	FABRICAÇÃO	-
4958	MODULO DE CONTROLE MODELO JDG03 - 240V/ 60Hz	UND  	OUTROS	-
4959	"CAIXA MEDIDOR POLIFASICO 407X273mm ""LOGO CERJ- OBSOLETO"""	UND  	OUTROS	-
4961	LÂMPADA MISTA DE 500W	UND  	OUTROS	-
4962	LAMPADA FLUORESCENTE 20W	UND  	OUTROS	-
4963	"PORCA DE 3/16"" X 5/16"""	UND  	FABRICAÇÃO	-
4964	CAPTOR DE DADOS TP900 HHU C/CABO	UND  	FABRICAÇÃO	-
4965	"SERRA TIPO COPO TAM 13/8"" 35MM MOD.HSS"	UND  	EPI/EPC/FERRAMENTAL	NÃO
4967	CURVA PVC RIG 50MM 90º CLASSE ADDT 1760	UND  	OUTROS	-
4968	"CAPACETE SEGURANÇAII ABA FRONTAL38MM LOGO ENEL ""FORA PADRÃO ENEL"""	UND  	EPI/EPC/FERRAMENTAL	SIM
4969	FAROLETE MANUAL MODELO 206C-COM H3 E INTERRUPTOR	UND  	EPI/EPC/FERRAMENTAL	NÃO
4970	PARAFUSO SEXTAVADO INTERNO M5X12MM INOX	PC   	FABRICAÇÃO	-
4971	PARAFUSO SEXTAVADO INTERNO M5X20MM INOX	PC   	FABRICAÇÃO	-
4972	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L – YIKUN	UND  	COMERCIALIZAÇÃO	-
4973	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA S/SUPORTE L	UND  	COMERCIALIZAÇÃO	-
4974	CHAVE FUSIVEL 38 KVA S/SUPORTE	UND  	COMERCIALIZAÇÃO	-
4975	ISOLADOR DE PORCELANA PINO MONOCORPO 15kV N95/3 MARROM ESCURO	UND  	COMERCIALIZAÇÃO	-
4977	ISOLADOR DE PORCELANA MONOCORPO ANSI 55-5 -13KN BI 115KV	UND  	COMERCIALIZAÇÃO	-
4978	CABO DE ALUMÍNIO 13.8KV  BLOQUEADO 150MM² MODELO XLPE	BB   	COMERCIALIZAÇÃO	-
4979	CABO DE ALUMINIO ISOLADO MULT 3X1X35+35MM² 0,6KV	BB   	COMERCIALIZAÇÃO	-
4980	CONE DE SINALIZAÇÃO  S/FURO P/FITA DE 75CM BR/LARANJA (FORA DO PADRÃO ENEL)	UND  	EPI/EPC/FERRAMENTAL	NÃO
4981	CONE DE SINALIZAÇÃO  C/FURO P/FITA DE 75CM BR/LARANJA (FORA DO PADRÃO ENEL)	UND  	EPI/EPC/FERRAMENTAL	NÃO
4982	CONE DE SINALIZAÇÃO  C/FURO P/FITA DE 75CM BR/LARANJA EMBORRACHADO	UND  	EPI/EPC/FERRAMENTAL	NÃO
4983	CAMISA ANTI-CHAMAS AZUL ROYAL TAM.GG-EPI	PC   	EPI/EPC/FERRAMENTAL	NÃO
4996	REATOR ELET. RE220S-P BIVOLT 127/220V	UND  	OUTROS	-
4998	"CHAVE INGLESA S/ISOLAMENTO TAM 10"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4999	"CHAVE INGLESA S/ISOLAMENTO TAM 8"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
5000	"TALHADEIRA DE AÇO DE 19MMX300MM - 12"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
5001	"TALHADEIRA DE AÇO DE 16"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
5002	SWITCH 8 PORTAS 10/100 MBPS	PÇ	OUTROS	-
5012	PARAFUSO FENDA 1/4' X 3/8'	UND  	OUTROS	-
5013	"PARAFUSO FENDA  1/4"" X  1.1/2"""	UND  	OUTROS	-
5014	"PARAFUSO FENDA  1/4""  X  2"""	UND  	FABRICAÇÃO	-
5015	"PARAFUSO FENDA  1/4""- 20 X 3/8"""	UND  	FABRICAÇÃO	-
5016	"PARAFUSO FENDA  5"" X 16"" INOX"	UND  	FABRICAÇÃO	-
5033	ROTEADOR WI-FI 	UND  	OUTROS	-
5034	ACOPLADOR CAPACITIVO	UND  	OUTROS	-
5040	LUVA ULTRANE PLUS MAPA 557 TAM.9	PAR  	EPI/EPC/FERRAMENTAL	SIM
5048	PARAFUSO SEXTAVADO INTERNO CABEÇA CHATA M5X20MM INOX	PC   	FABRICAÇÃO	-
5049	PARAFUSO SEXTAVADO INTERNO M5X15MM INOX	UND  	FABRICAÇÃO	-
5050	INTERFACE DE COMUNICAÇÃO PLC PRO 16 MODEL III	UND  	FABRICAÇÃO	-
5053	CONVERSOR SERIAL RS232/485	UND  	FABRICAÇÃO	-
5054	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA BRANCO	UND  	OUTROS	-
5056	DISPLAY CAM 127V	UND  	FABRICAÇÃO	-
5057	MODULO DE CONTROLE MODELO JDC02HD 120V 60Hz VERSÃO 03	UND  	FABRICAÇÃO	-
5058	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 240V-60 VERSÃO-0	UND  	FABRICAÇÃO	-
5059	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L C/CAPA DE PROTEÇÃO	UND  	COMERCIALIZAÇÃO	-
5060	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA AMARELO	PÇ	OUTROS	-
5061	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA LARANJA	UND  	COMERCIALIZAÇÃO	-
5062	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA CINZA	PÇ	OUTROS	-
5064	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA VERDE	PÇ	OUTROS	-
5068	PORTA FUSÍVEL YKF CO-15 C/PROLONGADOR 2KA - CARTUCHO VERMELHO	UND  	COMERCIALIZAÇÃO	-
5106	LIVRO DE PROTOCOLO 1/4 100FL	UND  	ESCRITÓRIO	-
5113	"TESOURA CORTA VERGALHÃO 24"" ISOLADA"	PÇ	EPI/EPC/FERRAMENTAL	NÃO
5115	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	UND  	EPI/EPC/FERRAMENTAL	SIM
5122	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	UND  	EPI/EPC/FERRAMENTAL	SIM
5127	TAMPA DE BORNE P/ MEDIDOR MONOFÁSICO	PÇ	COMERCIALIZAÇÃO	-
5131	SABONETE LÍQUIDO 5L	GARRAFA	OUTROS	-
5132	PAPEL HIGIÊNICO	UND  	OUTROS	-
5134	ESPONJA DUPLA FACE  VD/AM	UNID	OUTROS	-
5152	CAMERA FOTOGRAFICA	PÇ	OUTROS	-
5154	FITILHO DE AMARRAÇÃO 10MM	UND  	ESCRITÓRIO	-
5181	"PLACA DE SINALIZAÇÃO EM PVC 2MM- ""NÃO OPERE"" - 33X25CM"	UNID	OUTROS	-
5182	LOAD BUSTER - INTERRUPTOR DE CARGA 24,5KV	pç	EPI/EPC/FERRAMENTAL	NÃO
5183	BASTÃO PARA GRAMPO DE LINHA VIVA 32X3190MM COM BOLSA	PÇ	EPI/EPC/FERRAMENTAL	NÃO
5184	DETECTOR DE TENSÃO POR CONTATO - MT / BT - 50V A 90KV	PÇ	EPI/EPC/FERRAMENTAL	NÃO
